CaseID,Text,Run#,Latency(ms)
1,Breaking: the president has resigned due to scandal,1,104.20036315917969
1,Breaking: the president has resigned due to scandal,2,70.2352523803711
1,Breaking: the president has resigned due to scandal,3,69.07916069030762
1,Breaking: the president has resigned due to scandal,4,64.84723091125488
1,Breaking: the president has resigned due to scandal,5,69.3967342376709
1,Breaking: the president has resigned due to scandal,6,69.66066360473633
1,Breaking: the president has resigned due to scandal,7,65.20676612854004
1,Breaking: the president has resigned due to scandal,8,63.43793869018555
1,Breaking: the president has resigned due to scandal,9,71.40970230102539
1,Breaking: the president has resigned due to scandal,10,68.37797164916992
1,Breaking: the president has resigned due to scandal,11,63.42577934265137
1,Breaking: the president has resigned due to scandal,12,62.88790702819824
1,Breaking: the president has resigned due to scandal,13,63.337087631225586
1,Breaking: the president has resigned due to scandal,14,60.476064682006836
1,Breaking: the president has resigned due to scandal,15,63.94338607788086
1,Breaking: the president has resigned due to scandal,16,64.01944160461426
1,Breaking: the president has resigned due to scandal,17,63.00854682922363
1,Breaking: the president has resigned due to scandal,18,78.05299758911133
1,Breaking: the president has resigned due to scandal,19,77.22830772399902
1,Breaking: the president has resigned due to scandal,20,68.50028038024902
1,Breaking: the president has resigned due to scandal,21,61.68699264526367
1,Breaking: the president has resigned due to scandal,22,65.41299819946289
1,Breaking: the president has resigned due to scandal,23,69.04435157775879
1,Breaking: the president has resigned due to scandal,24,70.526123046875
1,Breaking: the president has resigned due to scandal,25,70.32942771911621
1,Breaking: the president has resigned due to scandal,26,77.49581336975098
1,Breaking: the president has resigned due to scandal,27,71.50554656982422
1,Breaking: the president has resigned due to scandal,28,113.92736434936523
1,Breaking: the president has resigned due to scandal,29,95.9475040435791
1,Breaking: the president has resigned due to scandal,30,84.6853256225586
1,Breaking: the president has resigned due to scandal,31,67.64960289001465
1,Breaking: the president has resigned due to scandal,32,62.78085708618164
1,Breaking: the president has resigned due to scandal,33,62.03937530517578
1,Breaking: the president has resigned due to scandal,34,67.61932373046875
1,Breaking: the president has resigned due to scandal,35,69.74387168884277
1,Breaking: the president has resigned due to scandal,36,64.79525566101074
1,Breaking: the president has resigned due to scandal,37,62.60371208190918
1,Breaking: the president has resigned due to scandal,38,65.61088562011719
1,Breaking: the president has resigned due to scandal,39,74.99861717224121
1,Breaking: the president has resigned due to scandal,40,66.01500511169434
1,Breaking: the president has resigned due to scandal,41,65.34862518310547
1,Breaking: the president has resigned due to scandal,42,65.7951831817627
1,Breaking: the president has resigned due to scandal,43,74.70488548278809
1,Breaking: the president has resigned due to scandal,44,70.3270435333252
1,Breaking: the president has resigned due to scandal,45,73.43530654907227
1,Breaking: the president has resigned due to scandal,46,71.40159606933594
1,Breaking: the president has resigned due to scandal,47,66.8630599975586
1,Breaking: the president has resigned due to scandal,48,68.2373046875
1,Breaking: the president has resigned due to scandal,49,71.08759880065918
1,Breaking: the president has resigned due to scandal,50,72.79205322265625
1,Breaking: the president has resigned due to scandal,51,68.20917129516602
1,Breaking: the president has resigned due to scandal,52,63.03143501281738
1,Breaking: the president has resigned due to scandal,53,71.57063484191895
1,Breaking: the president has resigned due to scandal,54,68.62378120422363
1,Breaking: the president has resigned due to scandal,55,75.40631294250488
1,Breaking: the president has resigned due to scandal,56,67.68584251403809
1,Breaking: the president has resigned due to scandal,57,67.72279739379883
1,Breaking: the president has resigned due to scandal,58,67.28291511535645
1,Breaking: the president has resigned due to scandal,59,72.62969017028809
1,Breaking: the president has resigned due to scandal,60,65.25421142578125
1,Breaking: the president has resigned due to scandal,61,76.58982276916504
1,Breaking: the president has resigned due to scandal,62,70.09553909301758
1,Breaking: the president has resigned due to scandal,63,66.7109489440918
1,Breaking: the president has resigned due to scandal,64,66.83063507080078
1,Breaking: the president has resigned due to scandal,65,70.1749324798584
1,Breaking: the president has resigned due to scandal,66,67.40355491638184
1,Breaking: the president has resigned due to scandal,67,62.093496322631836
1,Breaking: the president has resigned due to scandal,68,65.99807739257812
1,Breaking: the president has resigned due to scandal,69,63.43865394592285
1,Breaking: the president has resigned due to scandal,70,68.96615028381348
1,Breaking: the president has resigned due to scandal,71,65.73867797851562
1,Breaking: the president has resigned due to scandal,72,82.36813545227051
1,Breaking: the president has resigned due to scandal,73,73.87971878051758
1,Breaking: the president has resigned due to scandal,74,75.00052452087402
1,Breaking: the president has resigned due to scandal,75,64.49556350708008
1,Breaking: the president has resigned due to scandal,76,73.28343391418457
1,Breaking: the president has resigned due to scandal,77,71.26641273498535
1,Breaking: the president has resigned due to scandal,78,70.66774368286133
1,Breaking: the president has resigned due to scandal,79,68.81141662597656
1,Breaking: the president has resigned due to scandal,80,72.01266288757324
